standard_name,lucide_icon,source
format-indent-more,indent-increase,study
format-justify-center,align-center,study
format-justify-fill,align-justify,study
format-justify-left,align-left,study
format-justify-right,align-right,study
format-text-bold,bold,study
format-text-italic,italic,study
format-text-plaintext,file-text,study
format-text-strikethrough,strikethrough,study
format-text-underline,underline,study
go-bottom,arrow-down-to-line,study
go-down,arrow-down,study
go-first,arrow-left-to-line,study
go-home,home,study
go-last,arrow-right-to-line,study
go-next,arrow-right,study
go-previous,arrow-left,study
go-top,arrow-up-to-line,study
go-up,arrow-up,study
help-about,info,study
help-browser,circle-help,study
image-x-generic,image,study
input-gaming,gamepad-2,standard
input-keyboard,keyboard,standard
input-mouse,mouse,study
input-tablet,tablet,study
input-touchpad,touchpad,study
insert-image,image-plus,study
insert-link,link,study
insert-text,type,study
list-add,plus,study
list-drag-handle,grip-vertical,study
list-remove,minus,study
location-services-active,locate,study
location-services-disabled,locate-off,study
mail-attachment,paperclip,study
mail-forward,forward,study
mail-message-new,mail-plus,study
mail-read,mail-open,study
mail-replied,reply,study
mail-reply-all,reply-all,study
mail-reply-sender,reply,study
mail-send,send,study
mail-unread,mail,study
mark-location,map-pin,study
media-eject,eject,study
media-optical,disc,study
media-optical-cd,disc,study
media-optical-cd-audio,disc,study
media-playback-pause,pause,standard
media-playback-start,play,standard
media-playback-stop,record-stop,standard
media-playlist-repeat,repeat,study
media-playlist-repeat-song,repeat-1,study
media-playlist-shuffle,shuffle,study
media-record,record,standard
media-seek-backward,rewind,study
media-seek-forward,fast-forward,study
media-skip-backward,skip-back,standard
media-skip-forward,skip-forward,standard
media-view-subtitles,subtitles,study
microphone-disabled,mic-off,study
microphone-sensitivity-muted,mic-off,study
network-cellular-signal-excellent,signal,study
network-cellular-signal-good,signal-high,study
network-cellular-signal-none,signal-zero,study
network-cellular-signal-ok,signal-medium,study
network-cellular-signal-weak,signal-low,study
network-server,server,study
network-transmit-receive,arrow-down-up,study
network-vpn,shield,standard
network-vpn-disabled,shield-off,study
network-vpn-disconnected,shield-off,standard
network-wired,ethernet-port,standard
network-wireless,wifi,standard
network-wireless-acquiring,wifi-sync,standard
network-wireless-connected,wifi,study
network-wireless-disabled,wifi-off,standard
network-wireless-signal-none,wifi-zero,standard
network-wireless-signal-ok,wifi-high,standard
network-wireless-signal-weak,wifi-low,standard
night-light,sun-moon,standard
non-starred,star-off,study
notifications,bell,standard
notifications-disabled,bell-off,standard
object-flip-horizontal,flip-horizontal,study
object-flip-vertical,flip-vertical,study
object-rotate-left,rotate-ccw,study
object-rotate-right,rotate-cw,study
object-select,mouse-pointer,study
open-menu,menu,standard
org.gnome.tweaks,settings-2,standard
package-x-generic,package,study
pan-down,chevron-down,standard
pan-end,chevron-right,standard
pan-start,chevron-left,standard
pan-up,chevron-up,standard
phone,phone,study
power-profile-performance,zap,standard
power-profile-power-saver,leaf,standard
preferences-desktop,settings,standard
preferences-desktop-accessibility,accessibility,standard
preferences-desktop-display,monitor,study
preferences-desktop-font,type,standard
preferences-desktop-keyboard,keyboard,study
preferences-desktop-locale,languages,study
preferences-desktop-peripherals,mouse-pointer,standard
preferences-desktop-remote-desktop,screen-share,study
preferences-desktop-theme,palette,standard
preferences-desktop-wallpaper,image,study
preferences-system,settings-2,standard
preferences-system-network,globe,standard
preferences-system-notifications,bell,standard
preferences-system-time,clock,standard
printer,printer,study
process-stop,circle-stop,study
radio-checked,circle-dot,study
screen-shared,screen-share,study
security-high,shield-check,study
semi-starred,star-half,study
sidebar-show,sidebar,standard
sidebar-show-right,panel-right,study
starred,star,study
system-file-manager,folder,study
system-help,circle-help,study
system-lock-screen,lock,standard
system-log-out,log-out,standard
system-reboot,rotate-ccw,standard
system-search,search,standard
system-shutdown,power,standard
system-suspend,moon,standard
system-users,user,standard
tablet,tablet,study
text-x-generic,file-text,study
tools-check-spelling,spell-check,study
tv,tv,study
user-bookmarks,bookmark,study
user-home,home,study
user-trash,trash,standard
utilities-terminal,terminal,standard
value-decrease,minus,standard
value-increase,plus,standard
video-display,monitor,standard
video-x-generic,video,study
view-app-grid,grip,study
view-conceal,eye-off,study
view-fullscreen,maximize,study
view-grid,grid,standard
view-list,list,study
view-list-bullet,list,study
view-list-ordered,list-ordered,study
view-more,more-vertical,study
view-more-horizontal,more-horizontal,study
view-pin,pin,study
view-refresh,refresh-cw,study
view-restore,minimize,study
view-reveal,eye,study
view-sort-ascending,list-sort-ascending,study
view-sort-descending,list-sort-descending,study
weather-clear,sun,study
weather-clear-night,moon,study
weather-few-clouds,cloud-sun,study
weather-few-clouds-night,cloud-moon,study
weather-fog,cloud-fog,study
weather-overcast,cloudy,study
weather-severe-alert,cloud-alert,study
weather-showers,cloud-rain,study
weather-showers-scattered,cloud-drizzle,study
weather-snow,cloud-snow,study
weather-storm,cloud-lightning,study
weather-tornado,tornado,study
weather-windy,wind,study
window-close,x,standard
window-minimize,minus,study
x-office-address-book,contact,study
x-office-calendar,calendar,study
x-office-document,file-text,study
x-office-presentation,presentation,study
x-office-spreadsheet,file-spreadsheet,study
zoom-in,zoom-in,standard
zoom-out,zoom-out,standard
